gene_name, cluster_assignment, em0-2hr, em2-4hr, em4-6hr, em6-8hr, em8-10hr, em10-12hr, em12-14hr, em14-16hr, em16-18hr, em18-20hr, em20-22hr, em22-24hr
Cyp18a1, 0, 0.146, 1.11, 0.417, 0.406, 0.601, 2.18, 4.42, 23.6, 50.4, 41.6, 5.27, 3.36
Cyp304a1, 0, 0.231, 0.436, 0.465, 0.769, 0.785, 2.39, 7.03, 38.8, 71.7, 32.2, 4.06, 2.76
Cyp4e2, 0, 8.33, 5.05, 6.15, 30.1, 60.5, 39.7, 44.3, 7.25, 4.83, 5.13, 10.8, 15.1
Cyp4g1, 0, 0.161, 0.456, 1.72, 1.28, 1.02, 4.4, 13.2, 25.2, 31.3, 27.0, 15.2, 18.0
Cyp6a23, 0, 0.398, 0.314, 0.153, 0.181, 0.474, 0.65, 0.806, 3.94, 21.2, 29.2, 20.2, 26.6
Cyp6d5, 0, 0.22, 1.19, 3.58, 11.1, 21.7, 50.0, 58.3, 16.9, 6.67, 10.9, 45.2, 68.7
Cypl, 0, 28.7, 46.6, 45.6, 26.6, 21.8, 18.2, 13.2, 12.3, 7.94, 5.26, 8.02, 6.85
Cys, 1, 21.7, 306.0, 300.0, 431.0, 510.0, 383.0, 302.0, 397.0, 308.0, 252.0, 439.0, 379.0
Cyt-b5, 5, 25.1, 20.6, 40.3, 45.3, 46.1, 85.6, 57.1, 67.5, 62.3, 61.1, 68.0, 75.5
Cyt-b5-r, 0, 0.305, 3.65, 20.4, 43.5, 37.1, 13.5, 6.61, 9.32, 20.7, 23.0, 32.7, 55.2
Cyt-c-p, 5, 34.5, 60.6, 40.4, 22.7, 27.8, 32.2, 32.9, 62.4, 99.4, 119.0, 167.0, 125.0
D, 0, 3.32, 52.3, 50.9, 42.6, 28.6, 19.1, 11.3, 7.63, 5.5, 6.69, 3.26, 3.88
D1, 0, 66.3, 139.0, 165.0, 138.0, 101.0, 70.3, 49.5, 31.9, 27.5, 17.4, 21.2, 20.7
D19A, 0, 14.9, 0.9, 2.84, 11.0, 11.4, 13.4, 10.9, 10.6, 8.07, 7.13, 5.6, 5.53
D19B, 0, 16.8, 19.7, 16.0, 20.9, 19.8, 21.5, 14.1, 16.6, 10.9, 7.94, 12.2, 10.7
DIP1, 0, 12.2, 23.1, 35.9, 32.4, 28.6, 17.6, 32.2, 37.5, 30.0, 23.8, 17.5, 20.3
DIP2, 0, 11.4, 10.1, 12.9, 10.0, 9.4, 7.45, 13.5, 7.53, 7.95, 5.35, 5.47, 6.53
DLP, 0, 18.0, 9.27, 8.7, 11.4, 10.1, 5.68, 10.7, 7.01, 6.55, 4.69, 6.07, 7.23
DMAP1, 0, 28.9, 36.4, 31.7, 32.0, 26.7, 21.6, 16.0, 13.7, 10.8, 8.5, 11.8, 11.3
DNApol-alpha60, 0, 23.7, 10.5, 29.2, 18.3, 9.5, 5.53, 2.9, 2.96, 2.33, 1.2, 0.795, 0.943
DNApol-alpha73, 0, 36.6, 14.3, 32.2, 15.1, 8.07, 4.26, 1.9, 3.39, 2.33, 1.48, 0.8, 0.706
DNApol-gamma35, 0, 2.82, 4.84, 10.1, 12.0, 12.5, 17.5, 11.0, 9.25, 7.08, 5.69, 6.45, 7.24
DNaseII, 0, 0.54, 7.3, 32.8, 41.2, 25.0, 9.61, 3.89, 6.58, 12.3, 21.4, 19.1, 18.1
Dak1, 0, 28.8, 23.0, 23.4, 28.5, 27.7, 29.0, 20.1, 22.7, 27.8, 35.2, 33.1, 29.7
Dbi, 5, 0.15, 0.1, 0.204, 1.23, 3.12, 5.61, 4.29, 12.2, 29.5, 73.0, 118.0, 114.0
Dbp45A, 0, 5.43, 10.4, 14.9, 14.8, 14.4, 12.1, 10.2, 6.12, 5.13, 5.03, 9.42, 9.82
Dbp73D, 0, 10.4, 12.8, 12.3, 13.2, 13.4, 10.4, 9.53, 4.0, 3.29, 2.73, 6.28, 6.66
Dcp-1, 0, 22.8, 52.3, 65.3, 42.7, 32.0, 20.6, 15.5, 15.8, 12.3, 7.92, 13.8, 13.3
Dcp1, 0, 25.1, 22.2, 22.5, 17.3, 12.5, 14.0, 6.93, 7.93, 6.04, 6.45, 6.65, 5.04
Dcp2, 0, 15.4, 16.2, 23.1, 18.2, 18.0, 11.9, 20.2, 10.4, 12.2, 10.3, 6.91, 10.5
Dek, 0, 47.0, 74.3, 50.4, 41.4, 41.7, 24.4, 29.9, 19.6, 18.8, 9.54, 25.9, 24.5
Den1, 0, 9.94, 6.65, 6.32, 9.02, 9.59, 13.3, 11.2, 9.47, 8.03, 8.1, 5.56, 5.18
Der-1, 0, 19.2, 8.46, 25.2, 30.8, 33.6, 53.8, 31.2, 33.3, 24.4, 16.1, 8.9, 7.89
Der-2, 0, 27.1, 14.2, 4.53, 3.45, 6.86, 9.68, 11.3, 10.4, 10.1, 9.57, 7.17, 8.05
Det, 0, 16.4, 20.3, 33.8, 28.0, 24.3, 10.5, 7.97, 3.04, 2.57, 1.34, 2.05, 2.93
Df31, 2, 189.0, 262.0, 205.0, 245.0, 267.0, 179.0, 145.0, 78.4, 81.6, 41.3, 102.0, 85.2
Dg, 0, 3.62, 6.0, 6.37, 9.82, 11.3, 11.8, 20.0, 22.3, 19.1, 8.16, 5.31, 6.55
Dgkepsilon, 0, 18.8, 17.0, 18.2, 17.9, 19.9, 30.3, 23.6, 18.0, 25.8, 23.4, 26.7, 28.3
Dgp-1, 0, 11.5, 11.7, 9.31, 12.1, 12.5, 15.1, 8.96, 9.45, 7.42, 9.7, 7.09, 8.0
Dhod, 0, 24.1, 28.6, 16.8, 15.8, 16.9, 13.7, 10.1, 7.39, 6.09, 5.14, 4.35, 5.48
DhpD, 0, 22.1, 29.8, 34.1, 22.7, 18.9, 18.2, 13.5, 12.0, 10.3, 10.6, 12.5, 11.0
Dhpr, 0, 23.2, 4.19, 7.16, 10.8, 11.0, 17.8, 18.3, 18.3, 20.0, 26.5, 22.2, 21.5
Dip-B, 0, 53.2, 5.56, 2.19, 1.66, 2.31, 7.18, 6.95, 17.0, 26.2, 26.0, 21.5, 19.1
Dip-C, 0, 18.1, 16.0, 10.0, 12.0, 15.0, 17.5, 8.34, 9.75, 10.3, 16.8, 21.8, 18.8
Dip2, 0, 17.3, 21.4, 19.5, 12.5, 13.9, 8.76, 9.18, 4.77, 4.84, 3.05, 5.23, 5.95
Dip3, 0, 7.49, 10.3, 8.82, 12.3, 13.2, 19.0, 18.2, 13.1, 9.77, 7.27, 7.23, 7.04
Dis3, 0, 15.0, 16.1, 21.8, 18.9, 17.2, 15.2, 8.86, 6.92, 4.27, 2.9, 3.9, 3.73
Dlc90F, 0, 90.3, 141.0, 114.0, 67.6, 73.4, 69.0, 54.9, 48.5, 49.8, 39.5, 42.6, 48.7
Dmn, 0, 33.1, 45.0, 24.3, 25.6, 29.5, 40.4, 28.4, 28.6, 22.9, 24.6, 27.5, 22.4
DnaJ-1, 0, 65.0, 33.5, 25.2, 25.9, 39.6, 65.2, 53.9, 21.1, 25.1, 35.8, 47.9, 45.6
Dnz1, 0, 23.2, 26.7, 14.8, 15.5, 17.8, 19.7, 14.7, 15.1, 11.4, 8.55, 7.8, 8.31
Dp, 0, 26.8, 31.1, 42.6, 41.0, 31.8, 18.5, 16.4, 11.9, 8.15, 4.81, 8.14, 8.98
Dp1, 0, 31.3, 56.5, 52.8, 86.3, 95.6, 94.6, 120.0, 118.0, 68.4, 33.8, 48.5, 40.1
Dpck, 0, 14.9, 16.8, 22.5, 22.0, 18.7, 22.8, 13.1, 11.9, 10.7, 9.36, 7.23, 6.59
Dph5, 0, 87.9, 65.2, 21.5, 20.0, 26.1, 41.5, 23.0, 23.1, 18.1, 24.4, 31.9, 26.4
Dpit47, 0, 27.6, 17.3, 9.06, 14.5, 18.0, 22.7, 11.6, 8.0, 5.22, 5.05, 4.22, 4.33
DppIII, 0, 62.0, 6.65, 18.6, 21.0, 17.5, 22.0, 18.3, 17.0, 13.4, 9.88, 5.2, 5.39
Dpy-30L1, 0, 47.5, 65.4, 36.0, 40.9, 34.3, 36.5, 21.1, 18.7, 11.8, 11.1, 14.5, 8.45
Dref, 0, 34.5, 56.2, 57.6, 72.3, 52.8, 29.0, 27.9, 21.9, 18.1, 11.4, 18.2, 16.9
Drep-2, 0, 20.6, 24.1, 5.76, 5.1, 6.21, 5.28, 4.78, 7.35, 6.27, 4.36, 9.49, 8.4
Droj2, 0, 160.0, 59.2, 66.3, 71.3, 64.0, 64.4, 56.4, 39.8, 33.6, 34.2, 56.6, 55.0
Drp1, 0, 28.4, 5.72, 16.2, 20.6, 17.2, 16.7, 13.2, 13.0, 10.3, 8.23, 5.77, 6.32
Dsp1, 0, 11.5, 24.0, 35.9, 39.5, 30.3, 21.3, 22.1, 11.9, 10.8, 9.85, 7.48, 8.68
E(Pc), 0, 22.2, 25.1, 20.5, 17.7, 15.7, 9.74, 10.6, 9.89, 7.36, 6.28, 6.57, 6.5
E(bx), 0, 21.9, 17.8, 24.6, 23.4, 21.7, 10.4, 20.8, 9.33, 10.3, 6.48, 10.7, 12.1
E(spl), 0, 0.777, 6.66, 28.2, 58.3, 38.6, 20.3, 9.26, 2.68, 1.44, 1.24, 0.51, 0.637
E(var)3-9, 0, 36.4, 20.0, 18.1, 13.7, 13.5, 11.1, 9.11, 5.77, 4.78, 2.69, 3.63, 4.86
E(z), 0, 17.4, 10.2, 25.2, 15.7, 11.4, 8.81, 7.92, 6.0, 5.12, 4.19, 4.02, 4.59
E2f2, 0, 34.7, 17.2, 45.3, 36.8, 32.0, 27.7, 21.0, 11.6, 8.74, 6.73, 4.79, 5.97
ERR, 0, 8.55, 3.33, 5.84, 8.59, 9.62, 12.4, 10.1, 7.76, 8.72, 11.3, 8.85, 9.94
ERp60, 0, 21.5, 26.4, 16.2, 14.4, 18.9, 24.6, 22.4, 17.3, 11.4, 7.09, 6.52, 7.18
Eaf6, 0, 15.1, 19.5, 19.0, 15.1, 15.7, 15.6, 11.9, 7.72, 7.32, 6.46, 11.2, 10.1
Eap, 0, 16.2, 19.6, 20.7, 26.0, 25.3, 23.1, 19.1, 11.1, 9.75, 7.19, 20.4, 17.8
Eb1, 0, 14.8, 28.9, 42.3, 30.8, 27.9, 18.8, 25.4, 10.1, 9.31, 5.99, 9.98, 11.0
Ect3, 0, 0.251, 2.71, 13.4, 18.3, 9.76, 10.3, 9.55, 12.1, 11.0, 7.03, 3.11, 3.67
Edc3, 0, 23.8, 25.2, 6.65, 9.79, 9.58, 7.44, 9.91, 8.52, 7.38, 6.34, 8.76, 8.02
Edem2, 0, 13.7, 6.87, 11.5, 12.8, 11.8, 15.9, 11.3, 10.6, 12.9, 9.75, 5.39, 5.09
Edg91, 0, 0.06, 0.0673, 0.032, 0.0352, 0.286, 0.413, 0.157, 0.879, 9.77, 61.6, 36.5, 37.1
Ef1alpha48D, 1, 346.0, 393.0, 230.0, 343.0, 397.0, 327.0, 255.0, 344.0, 313.0, 306.0, 414.0, 310.0
Ef1beta, 1, 462.0, 599.0, 375.0, 478.0, 521.0, 453.0, 338.0, 397.0, 339.0, 328.0, 314.0, 293.0
Ef1gamma, 1, 513.0, 665.0, 404.0, 547.0, 602.0, 497.0, 399.0, 457.0, 399.0, 433.0, 439.0, 394.0
Ef2b, 1, 477.0, 559.0, 341.0, 488.0, 557.0, 469.0, 371.0, 492.0, 449.0, 441.0, 591.0, 437.0
EfTuM, 5, 69.3, 32.9, 28.8, 56.1, 69.1, 145.0, 89.9, 129.0, 91.2, 80.8, 79.6, 63.5
Egm, 0, 11.1, 9.01, 9.75, 10.9, 11.4, 18.0, 11.8, 15.9, 14.2, 15.1, 11.6, 11.0
Eip55E, 0, 58.9, 81.0, 48.3, 32.7, 46.5, 56.2, 46.2, 47.4, 33.9, 20.9, 26.6, 27.0
Ela, 0, 1.69, 1.55, 1.95, 1.48, 1.79, 4.78, 4.35, 11.4, 9.95, 19.6, 41.4, 33.7
Elf, 0, 39.4, 17.6, 24.5, 25.5, 28.4, 29.6, 35.0, 25.1, 17.9, 11.6, 12.8, 12.9
EloA, 0, 25.4, 26.4, 23.7, 14.3, 14.3, 11.1, 12.4, 9.2, 8.35, 5.57, 12.8, 12.4
Elongin-B, 0, 49.7, 60.2, 54.4, 47.2, 44.3, 52.4, 38.6, 37.4, 31.9, 27.6, 25.5, 24.8
Elongin-C, 0, 35.6, 51.4, 62.9, 45.3, 40.1, 31.4, 27.7, 27.4, 23.4, 17.1, 17.0, 18.2
Elp1, 0, 12.1, 10.0, 12.2, 13.6, 13.3, 9.22, 9.43, 7.35, 6.64, 6.06, 9.2, 9.12
Elp3, 0, 22.0, 9.04, 16.0, 18.9, 16.5, 19.2, 11.2, 10.5, 7.51, 7.03, 12.1, 10.6
EndoG, 0, 18.1, 5.91, 9.48, 11.4, 11.8, 19.9, 14.7, 17.9, 16.8, 16.0, 16.6, 12.8
EndoGI, 0, 17.7, 2.61, 2.84, 6.73, 7.35, 11.7, 8.51, 7.4, 7.31, 8.54, 9.37, 11.3
Eno, 5, 158.0, 39.0, 11.2, 9.24, 12.1, 50.7, 42.0, 55.8, 44.0, 76.3, 120.0, 116.0
Ent1, 0, 12.4, 6.45, 20.0, 16.3, 16.7, 24.3, 25.6, 17.7, 15.7, 12.9, 7.05, 9.71
Ent2, 0, 20.7, 36.3, 75.8, 119.0, 125.0, 119.0, 81.7, 60.9, 41.3, 26.2, 23.9, 21.0
Eps-15, 0, 14.2, 7.07, 14.2, 15.3, 13.0, 12.2, 11.9, 10.6, 10.8, 12.1, 9.13, 9.59
Ero1L, 0, 14.4, 3.44, 6.3, 7.88, 9.31, 13.7, 13.7, 8.78, 6.79, 6.86, 5.1, 6.14
Etl1, 0, 26.3, 6.44, 20.1, 17.6, 13.3, 10.4, 9.37, 5.24, 4.71, 3.71, 3.3, 4.03
Exp6, 0, 18.8, 26.5, 19.6, 17.8, 16.1, 11.3, 13.0, 10.4, 8.81, 6.37, 11.8, 10.7
FBX011, 0, 21.2, 5.01, 10.5, 16.6, 17.6, 17.2, 17.0, 12.8, 11.2, 9.63, 5.27, 5.98
FK506-bp1, 2, 169.0, 268.0, 262.0, 198.0, 170.0, 138.0, 109.0, 87.8, 63.1, 34.7, 57.2, 57.8
FK506-bp2, 2, 302.0, 442.0, 310.0, 381.0, 354.0, 354.0, 176.0, 198.0, 130.0, 100.0, 116.0, 98.5
FKBP59, 0, 51.6, 6.83, 8.02, 9.19, 13.5, 30.0, 19.1, 13.2, 12.0, 8.67, 9.3, 11.0
Faf, 0, 42.9, 52.1, 26.9, 26.6, 31.6, 35.2, 27.9, 29.3, 27.3, 23.5, 23.4, 25.1
Fas1, 0, 8.83, 13.9, 16.1, 16.1, 13.5, 10.4, 18.9, 12.3, 9.88, 6.9, 8.19, 9.79
Fatp, 0, 2.62, 1.35, 2.69, 11.4, 12.1, 11.3, 12.2, 13.6, 9.34, 23.9, 11.7, 14.5
Fdh, 0, 132.0, 38.7, 15.2, 9.23, 12.6, 21.4, 15.3, 24.9, 29.3, 35.1, 31.2, 24.6
Fer1HCH, 2, 102.0, 162.0, 131.0, 94.8, 112.0, 160.0, 128.0, 130.0, 114.0, 119.0, 122.0, 122.0
Fer2LCH, 5, 53.5, 87.6, 82.3, 65.0, 77.3, 78.7, 93.5, 70.9, 70.9, 84.2, 80.1, 94.0
Fib, 2, 64.9, 115.0, 156.0, 218.0, 193.0, 202.0, 96.4, 140.0, 60.3, 58.8, 130.0, 77.5
Fip1, 0, 26.3, 48.8, 38.9, 29.8, 23.6, 17.5, 12.7, 12.1, 8.68, 5.9, 10.4, 8.3
Fis1, 0, 13.8, 17.2, 13.6, 10.3, 15.0, 19.5, 27.2, 5.39, 12.2, 7.62, 11.5, 18.3
Fit1, 0, 23.5, 33.2, 25.0, 19.0, 20.2, 21.1, 23.0, 22.0, 27.6, 41.5, 45.4, 48.7
Fit2, 0, 16.6, 7.23, 16.1, 13.2, 12.0, 17.0, 15.7, 23.8, 27.4, 36.9, 20.0, 19.5
Fkbp13, 0, 1.42, 2.06, 2.59, 9.75, 15.6, 30.9, 37.5, 30.2, 19.3, 5.89, 3.18, 3.54
Flo-1, 0, 5.46, 8.71, 11.9, 15.1, 20.7, 49.7, 31.3, 32.6, 25.5, 27.4, 20.5, 20.0
Fmo-2, 0, 0.913, 1.54, 2.3, 5.97, 6.66, 8.9, 15.0, 22.5, 14.4, 8.86, 13.4, 15.9
Fmr1, 0, 23.8, 5.75, 5.87, 6.07, 7.5, 11.4, 12.8, 14.8, 11.1, 5.04, 2.22, 2.27
Fpps, 0, 19.2, 40.6, 65.5, 38.4, 37.3, 39.7, 39.4, 15.7, 9.91, 8.52, 12.4, 13.6
Fsn, 0, 33.9, 19.8, 23.0, 20.9, 16.0, 16.5, 12.7, 10.1, 7.93, 7.99, 5.48, 5.86
Fst, 3, 0.26, 0.299, 1.11, 0.527, 1.31, 2.96, 1.97, 3.25, 9.74, 90.1, 373.0, 353.0
FucT6, 0, 15.0, 6.65, 16.3, 17.3, 14.6, 21.3, 11.4, 8.69, 5.62, 5.67, 6.43, 5.49
Fur2, 0, 44.5, 20.2, 8.96, 6.7, 11.3, 10.9, 12.4, 23.8, 25.4, 17.5, 20.9, 18.8
G-ialpha65A, 0, 24.0, 41.6, 40.6, 36.6, 29.8, 23.5, 19.5, 12.6, 11.4, 6.86, 9.97, 11.1
G-salpha60A, 0, 0.392, 5.46, 15.4, 12.6, 13.4, 11.4, 19.9, 6.19, 9.27, 8.69, 6.91, 10.2
GABPI, 0, 17.3, 16.6, 11.3, 9.16, 11.3, 13.3, 8.66, 8.79, 5.86, 3.91, 3.63, 4.3
GAPsec, 0, 9.92, 11.9, 7.47, 8.3, 10.2, 12.7, 12.8, 7.93, 7.36, 4.26, 5.61, 6.81
GC, 0, 0.13, 0.415, 0.591, 4.18, 9.49, 19.8, 21.1, 17.9, 16.1, 12.8, 8.04, 9.21
GM130, 0, 18.5, 21.5, 12.3, 14.2, 20.6, 25.5, 26.7, 22.8, 18.9, 13.5, 16.5, 14.9
Gadd34, 0, 38.0, 51.8, 37.6, 35.5, 39.6, 44.6, 41.4, 35.9, 37.2, 32.5, 30.2, 36.3
GalNAc-T1, 0, 16.9, 12.8, 8.26, 10.3, 12.0, 25.6, 27.5, 20.6, 25.6, 30.9, 7.09, 8.15
GalNAc-T2, 0, 22.4, 21.8, 12.3, 13.7, 16.1, 36.7, 23.4, 12.6, 5.28, 2.9, 2.89, 3.45
Gale, 5, 7.83, 6.32, 13.9, 36.2, 35.8, 49.9, 40.1, 49.0, 59.2, 99.9, 72.2, 74.0
Galt, 0, 0.482, 3.77, 17.6, 34.3, 21.1, 21.1, 14.2, 16.4, 20.7, 39.3, 37.4, 43.2
Gap69C, 0, 35.3, 36.6, 14.6, 20.8, 25.6, 31.3, 24.8, 18.9, 17.3, 16.7, 13.5, 12.2
Gapdh1, 5, 243.0, 37.0, 6.32, 4.08, 6.4, 12.0, 18.7, 110.0, 146.0, 208.0, 234.0, 212.0
Gapdh2, 3, 448.0, 15.8, 8.14, 4.78, 6.87, 19.1, 44.1, 204.0, 277.0, 345.0, 428.0, 412.0
Gas41, 0, 10.6, 21.4, 25.1, 19.0, 17.7, 18.9, 14.5, 7.04, 5.78, 3.17, 3.49, 5.68
Gasp, 0, 0.215, 0.228, 0.261, 0.488, 1.13, 6.26, 19.1, 31.6, 63.8, 21.9, 4.38, 4.83
Gbeta13F, 0, 31.1, 49.1, 50.5, 43.5, 50.4, 65.8, 55.9, 44.0, 45.0, 35.4, 29.7, 34.9
Gbeta5, 0, 5.73, 0.765, 0.566, 2.26, 4.04, 13.1, 10.5, 16.6, 15.1, 17.0, 13.7, 13.8
GckIII, 0, 16.0, 13.3, 22.9, 23.4, 19.2, 22.6, 19.0, 21.1, 15.3, 16.7, 11.9, 9.95
Gclm, 5, 103.0, 57.3, 23.9, 25.1, 38.9, 65.9, 55.1, 94.7, 75.7, 59.3, 61.1, 59.8
Gdh, 5, 31.7, 37.3, 18.2, 7.76, 11.3, 23.4, 41.8, 101.0, 93.1, 85.9, 86.5, 81.7
Gdi, 0, 59.7, 13.9, 29.6, 42.4, 43.0, 71.3, 51.4, 45.2, 32.9, 29.7, 23.4, 25.2
Ge-1, 0, 22.4, 17.9, 11.6, 12.7, 12.9, 8.28, 9.56, 6.97, 5.08, 3.04, 4.35, 4.64
Gef26, 0, 17.3, 12.2, 19.9, 16.9, 14.0, 9.32, 10.1, 9.54, 7.15, 5.38, 3.59, 3.81
Gel, 0, 3.51, 6.08, 7.66, 8.67, 8.35, 12.4, 11.9, 16.6, 22.4, 22.2, 18.4, 20.2
Gem2, 0, 18.7, 24.2, 15.8, 12.5, 12.5, 7.69, 6.91, 5.78, 5.74, 3.07, 8.55, 7.8
Gfat1, 0, 0.0679, 0.0958, 0.114, 0.273, 0.649, 2.83, 4.72, 12.8, 36.4, 22.9, 15.0, 20.3
Gfat2, 0, 18.5, 14.5, 18.1, 25.8, 28.5, 46.1, 27.2, 31.2, 23.7, 24.3, 16.4, 17.1
Gfr, 0, 12.9, 11.5, 11.3, 9.05, 8.96, 11.2, 10.6, 9.15, 8.85, 8.54, 7.43, 8.96
Gga, 0, 29.5, 29.7, 5.99, 5.1, 7.4, 7.44, 7.37, 10.3, 7.92, 5.12, 10.3, 9.01
Ggamma1, 0, 16.0, 29.2, 35.3, 42.5, 57.0, 67.7, 62.3, 48.8, 52.3, 41.9, 38.0, 47.9
Gie, 0, 12.0, 18.4, 15.3, 16.3, 19.5, 24.1, 16.0, 12.5, 10.9, 8.34, 6.7, 8.52
Gint3, 0, 14.5, 16.9, 26.4, 21.0, 17.8, 16.8, 15.2, 11.0, 9.74, 7.19, 8.44, 10.2
Gip, 0, 41.5, 24.1, 7.47, 2.55, 2.51, 3.75, 4.87, 10.5, 16.0, 23.1, 66.4, 64.4
Girdin, 0, 23.0, 14.4, 13.4, 11.3, 11.0, 5.96, 8.67, 5.24, 5.51, 4.47, 4.83, 5.56
Git, 0, 12.4, 14.8, 17.6, 17.3, 16.2, 19.1, 18.0, 13.5, 9.38, 7.22, 8.18, 7.93
Gl, 0, 25.9, 7.17, 11.1, 9.4, 8.77, 8.79, 6.97, 6.55, 6.26, 6.77, 6.15, 6.38
GlcAT-I, 0, 19.3, 14.7, 9.29, 11.4, 13.2, 15.6, 12.6, 9.31, 5.85, 4.57, 4.42, 4.35
GlcT-1, 0, 24.8, 5.6, 4.64, 5.17, 5.87, 10.7, 10.5, 13.3, 15.3, 13.9, 7.24, 6.74
Gli, 0, 1.58, 7.79, 16.2, 20.7, 21.3, 27.1, 20.1, 18.5, 18.5, 14.5, 7.3, 8.36
Glt, 5, 0.438, 0.406, 0.577, 0.947, 1.91, 6.14, 17.0, 73.1, 140.0, 204.0, 129.0, 122.0
GlyP, 5, 58.8, 9.15, 1.67, 1.95, 3.24, 13.2, 27.8, 62.8, 57.3, 76.1, 75.7, 83.5
Glycogenin, 0, 3.38, 4.58, 2.01, 1.83, 3.05, 4.45, 8.59, 14.5, 27.4, 31.7, 19.3, 21.7
Gmd, 0, 22.1, 16.4, 28.3, 24.6, 17.6, 18.1, 12.2, 8.44, 7.56, 7.44, 5.73, 5.81
Golgin84, 0, 13.2, 16.2, 15.7, 14.1, 15.6, 13.7, 12.6, 9.27, 7.61, 5.41, 7.49, 7.91
Gos28, 0, 19.0, 14.8, 8.77, 8.71, 10.3, 10.9, 7.84, 7.13, 5.76, 3.84, 4.4, 4.85
Got1, 0, 29.7, 27.4, 9.36, 3.9, 6.11, 11.4, 13.7, 19.9, 19.5, 25.6, 40.0, 43.7
Got2, 0, 60.8, 1.41, 0.667, 0.741, 1.69, 6.92, 9.21, 21.3, 23.2, 36.0, 53.2, 48.5
Gp150, 0, 1.52, 24.4, 88.1, 86.5, 68.8, 48.7, 64.6, 50.1, 52.4, 44.3, 31.1, 36.9
Gp93, 2, 93.5, 156.0, 185.0, 196.0, 208.0, 247.0, 158.0, 103.0, 71.0, 64.7, 39.9, 37.4
Gpdh, 5, 18.7, 7.42, 5.75, 8.94, 9.87, 7.43, 5.04, 5.11, 9.79, 32.4, 110.0, 120.0
Gpo-1, 5, 0.528, 1.76, 1.23, 0.757, 0.726, 1.39, 1.26, 4.74, 15.6, 59.1, 92.5, 81.4
Grasp65, 0, 29.3, 25.6, 15.1, 25.8, 30.6, 50.4, 35.4, 28.5, 16.3, 16.2, 12.8, 9.89
Gs1, 5, 79.0, 27.3, 12.7, 29.8, 41.7, 88.5, 67.7, 86.2, 89.4, 62.2, 43.2, 46.8
Gs1l, 0, 20.4, 1.84, 0.855, 1.3, 2.43, 7.59, 6.06, 9.79, 12.0, 28.9, 44.8, 57.3
Gs2, 0, 0.111, 0.718, 2.01, 12.3, 16.5, 13.2, 12.0, 10.8, 14.3, 38.6, 42.3, 45.3
GstD1, 5, 179.0, 4.77, 4.22, 6.24, 9.99, 36.4, 35.5, 53.9, 48.1, 57.0, 84.7, 104.0
GstE1, 5, 25.7, 38.2, 22.7, 6.27, 13.0, 19.6, 23.4, 43.4, 59.5, 68.1, 113.0, 144.0
GstE3, 5, 0.834, 1.18, 1.25, 8.8, 45.8, 55.8, 29.8, 14.2, 16.8, 39.7, 140.0, 142.0
GstE5, 0, 0.244, 0.357, 1.25, 0.891, 1.23, 2.67, 2.31, 2.66, 5.15, 10.0, 33.9, 49.3
GstE6, 0, 66.8, 3.37, 3.22, 9.89, 27.2, 50.3, 44.1, 56.9, 48.2, 36.9, 54.0, 73.7
GstE7, 0, 16.8, 25.4, 17.6, 11.3, 17.0, 21.7, 17.4, 13.4, 19.9, 29.6, 62.5, 84.9
GstE8, 0, 18.4, 6.42, 4.25, 3.24, 5.77, 8.2, 5.03, 7.43, 10.3, 12.2, 15.1, 19.2
GstE9, 0, 1.33, 2.49, 4.72, 6.05, 7.09, 3.49, 2.48, 3.73, 8.48, 23.7, 37.4, 51.8
GstS1, 0, 27.2, 39.9, 21.4, 6.36, 8.46, 10.2, 12.3, 26.5, 28.6, 22.4, 20.7, 19.2
Gtp-bp, 0, 38.1, 4.14, 7.47, 30.8, 48.1, 111.0, 63.8, 114.0, 70.7, 43.1, 25.9, 21.4
Gug, 0, 12.3, 16.2, 13.2, 12.0, 10.5, 7.78, 9.31, 9.2, 6.83, 6.56, 6.28, 5.38
Gyk, 0, 9.57, 10.9, 9.31, 7.29, 7.47, 8.99, 6.92, 6.62, 7.95, 9.16, 13.8, 17.2
H, 0, 20.5, 22.0, 10.2, 13.1, 12.6, 8.65, 9.11, 8.21, 5.6, 3.55, 8.7, 6.48
HBS1, 0, 29.9, 45.1, 36.3, 29.5, 24.5, 23.6, 17.0, 18.3, 14.1, 12.3, 12.4, 11.7
HIP-R, 0, 23.3, 24.7, 9.13, 10.7, 17.2, 20.3, 25.4, 14.5, 10.1, 6.74, 6.85, 8.73
HLH106, 0, 25.2, 1.52, 1.64, 2.23, 4.81, 18.4, 19.1, 21.8, 19.4, 30.6, 26.7, 26.3
HLHm3, 0, 0.221, 1.08, 4.48, 25.9, 54.3, 51.3, 21.9, 8.68, 5.29, 3.9, 2.01, 1.78
HLHm5, 0, 1.38, 15.4, 68.5, 81.6, 27.7, 8.59, 4.29, 1.61, 1.02, 0.933, 0.32, 0.503
HLHm7, 0, 1.47, 16.3, 72.0, 124.0, 119.0, 55.8, 34.1, 10.3, 5.91, 3.58, 0.967, 1.34
HLHmbeta, 0, 0.397, 2.6, 14.2, 38.9, 50.6, 59.9, 38.4, 20.3, 14.6, 14.4, 7.55, 6.82
HLHmdelta, 0, 0.534, 4.61, 38.1, 41.9, 34.4, 8.03, 3.96, 0.839, 0.532, 0.581, 0.166, 0.591
