gene_name, cluster_assignment, em0-2hr, em2-4hr, em4-6hr, em6-8hr, em8-10hr, em10-12hr, em12-14hr, em14-16hr, em16-18hr, em18-20hr, em20-22hr, em22-24hr
CG3604, 5, 0.133, 0.0272, 0.0968, 0.224, 0.205, 0.889, 2.13, 6.67, 7.72, 33.0, 96.7, 121.0
CG3605, 0, 32.0, 55.3, 63.0, 42.6, 36.8, 26.1, 26.6, 17.9, 13.6, 10.9, 12.2, 13.2
CG3608, 0, 9.89, 1.96, 2.61, 2.75, 3.03, 6.74, 9.69, 24.6, 18.4, 9.11, 6.62, 6.96
CG3609, 5, 24.3, 32.3, 20.0, 9.62, 14.6, 37.5, 27.8, 38.1, 26.2, 63.5, 184.0, 156.0
CG3618, 0, 12.6, 16.8, 6.32, 2.86, 4.46, 8.07, 9.82, 12.5, 12.4, 9.92, 9.93, 11.6
CG3621, 5, 28.3, 13.4, 17.5, 23.3, 24.7, 57.2, 30.1, 49.5, 50.7, 64.7, 72.0, 57.8
CG3625, 0, 0.926, 3.3, 9.28, 12.8, 16.9, 18.8, 17.2, 7.47, 7.08, 7.09, 5.4, 6.38
CG3634, 0, 21.7, 13.5, 15.5, 17.4, 17.0, 18.2, 11.4, 10.2, 6.83, 5.43, 4.07, 4.78
CG3652, 0, 14.0, 3.0, 8.35, 12.7, 13.8, 19.0, 16.1, 9.68, 8.18, 7.23, 4.63, 4.77
CG3662, 0, 26.8, 49.7, 61.1, 36.0, 34.2, 38.3, 35.4, 44.5, 42.8, 52.5, 44.6, 49.3
CG3678, 0, 18.7, 23.4, 14.4, 16.7, 18.9, 21.2, 16.0, 14.1, 11.4, 7.59, 7.71, 8.34
CG3679, 5, 26.2, 20.3, 10.7, 7.61, 8.83, 5.75, 7.72, 11.0, 17.8, 69.4, 107.0, 103.0
CG3680, 0, 34.8, 18.9, 25.1, 28.3, 23.8, 17.4, 16.5, 9.09, 6.99, 4.73, 3.26, 3.79
CG3683, 0, 24.1, 20.6, 22.9, 22.2, 23.4, 39.6, 29.6, 37.0, 45.2, 57.2, 62.8, 59.2
CG3689, 0, 20.0, 12.9, 32.5, 26.4, 20.9, 22.4, 17.7, 9.15, 7.78, 5.57, 3.99, 5.31
CG3699, 5, 0.705, 2.6, 11.5, 13.4, 17.7, 34.1, 33.0, 88.1, 99.8, 152.0, 240.0, 170.0
CG3700, 0, 6.24, 13.7, 23.9, 16.4, 11.8, 5.86, 7.61, 4.99, 3.37, 2.18, 3.87, 3.52
CG3702, 0, 48.4, 22.7, 58.4, 59.8, 49.5, 52.5, 47.1, 39.0, 31.3, 24.9, 17.2, 18.6
CG3704, 0, 30.1, 35.5, 31.4, 25.3, 24.2, 17.9, 11.8, 13.0, 9.51, 6.85, 14.2, 12.8
CG3719, 0, 13.5, 13.9, 11.1, 17.9, 18.6, 24.3, 16.1, 13.8, 11.2, 12.9, 12.7, 12.0
CG3731, 5, 101.0, 48.6, 65.3, 62.6, 62.3, 115.0, 86.1, 162.0, 162.0, 222.0, 213.0, 179.0
CG3732, 0, 31.4, 50.1, 48.8, 43.0, 37.3, 32.0, 21.9, 20.9, 14.4, 10.6, 12.3, 12.6
CG3735, 0, 13.8, 15.6, 13.7, 11.6, 12.0, 7.75, 10.4, 5.66, 5.5, 3.71, 10.5, 11.2
CG3744, 0, 28.3, 26.8, 17.0, 12.1, 12.5, 9.72, 10.1, 13.9, 8.66, 5.59, 8.81, 8.15
CG3746, 0, 0.379, 0.59, 0.656, 0.147, 0.371, 0.857, 0.89, 5.3, 14.4, 39.0, 36.3, 32.4
CG3756, 0, 11.8, 4.78, 15.2, 21.0, 21.2, 20.7, 14.0, 9.93, 7.69, 5.4, 11.5, 10.3
CG3760, 0, 41.4, 9.31, 28.8, 35.6, 31.0, 41.0, 30.2, 26.4, 22.5, 21.5, 26.8, 20.9
CG3776, 0, 25.9, 41.6, 39.6, 28.0, 26.6, 29.8, 22.5, 18.8, 21.2, 16.6, 12.4, 14.9
CG3792, 0, 26.0, 6.96, 18.7, 18.6, 17.1, 22.1, 17.5, 17.5, 16.1, 15.6, 16.8, 16.8
CG3797, 0, 20.8, 22.8, 19.9, 15.0, 13.6, 8.67, 8.69, 6.47, 5.85, 3.19, 9.17, 8.77
CG3800, 2, 266.0, 205.0, 186.0, 290.0, 246.0, 193.0, 206.0, 111.0, 84.6, 67.7, 56.6, 52.4
CG3803, 0, 8.1, 5.08, 10.2, 10.3, 10.1, 12.0, 11.1, 11.6, 13.7, 11.8, 6.79, 7.51
CG3814, 0, 0.282, 0.391, 1.32, 3.8, 8.36, 20.6, 30.7, 23.7, 30.1, 22.4, 19.6, 27.4
CG3817, 0, 13.5, 21.8, 25.4, 27.8, 20.8, 18.5, 15.1, 7.08, 7.77, 6.65, 12.0, 9.91
CG3829, 0, 0.156, 1.03, 4.56, 15.3, 20.4, 21.0, 16.7, 10.5, 14.3, 15.4, 10.3, 12.8
CG3847, 0, 61.2, 88.3, 46.1, 48.3, 48.0, 36.4, 36.0, 37.7, 33.6, 24.9, 32.3, 29.4
CG3884, 0, 0.0516, 0.197, 0.112, 0.114, 0.178, 0.342, 0.456, 5.53, 16.1, 28.8, 28.0, 24.4
CG3887, 0, 58.7, 92.1, 114.0, 67.8, 76.4, 97.0, 66.7, 50.9, 43.8, 27.7, 20.1, 26.1
