gene_name,em0-2hr,em2-4hr,em4-6hr,em6-8hr,em8-10hr,em10-12hr,em12-14hr,em14-16hr,em16-18hr,em18-20hr,em20-22hr,em22-24hr
CG43165,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.21E-02,0.00E+00,5.76E-02,4.79E-01,1.77E+00,2.00E+00
CG43166,0.00E+00,0.00E+00,1.60E-02,0.00E+00,2.46E-02,5.18E-03,2.91E-03,0.00E+00,0.00E+00,9.61E-03,0.00E+00,9.57E-03
CG43167,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
CG43168,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.18E-02,4.62E-03,0.00E+00,4.58E-02,1.12E-02,7.85E-03,2.24E-02
CG43169,0.00E+00,2.07E-03,1.94E-01,3.57E-01,2.17E-01,2.25E-01,2.30E-01,7.87E-02,1.23E-01,1.65E-01,1.60E-01,2.28E-01
CG43171,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E-02
CG43172,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.77E-02,1.22E-02,1.64E-01,1.40E-01,1.48E-02,9.62E-02
CG43173,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.95E-02,9.92E-03,0.00E+00,4.16E-03,0.00E+00,1.15E-02
CG43174,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.13E-03,1.75E-03,7.62E-03,1.33E-02,2.26E-03,4.43E-03,1.08E-02,1.45E-02
CG43175,1.29E-02,1.45E-02,2.58E-02,4.98E-02,1.37E-01,1.56E-01,1.41E-01,2.20E-01,7.43E-01,1.85E+00,1.15E+01,1.11E+01
CG43176,0.00E+00,0.00E+00,2.80E-02,0.00E+00,3.17E-02,3.00E-02,0.00E+00,0.00E+00,5.81E-02,9.34E-02,0.00E+00,0.00E+00
CG43177,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.87E-02,0.00E+00,3.65E-02,0.00E+00
CG43178,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E-02
CG43179,0.00E+00,2.51E-01,7.85E-01,2.86E-01,1.23E-01,1.77E-01,2.71E-01,7.27E-02,1.39E-01,3.14E-02,4.48E-02,2.05E-01
CG4318,2.09E-02,1.17E-02,0.00E+00,2.04E-02,2.36E-02,6.30E-02,1.40E-01,7.32E-02,6.11E-02,5.07E-02,1.29E-02,5.97E-02
CG43181,1.47E-02,3.31E-02,4.46E-02,4.30E-02,2.86E-01,3.01E-01,3.69E-01,7.51E-01,2.54E+01,2.18E+01,2.77E+00,3.69E+00
CG43182,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.21E-02,0.00E+00,5.48E-02,4.50E-02,4.05E-01,8.39E-01
CG43183,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.05E-02,0.00E+00,1.17E-02,9.06E-03,5.00E-02,8.00E-03,0.00E+00,7.96E-03
CG43184,9.37E+00,1.46E+02,3.45E+00,3.33E-01,5.65E-01,3.29E-01,1.65E-01,2.18E-01,2.62E-01,4.31E-01,1.52E-01,1.07E+00
CG43185,0.00E+00,1.52E-02,1.80E-02,0.00E+00,1.51E-02,1.26E-02,6.47E-02,0.00E+00,0.00E+00,1.18E-02,0.00E+00,5.80E-03
CG43187,1.44E-03,0.00E+00,9.62E-04,2.82E-03,0.00E+00,1.39E-02,2.52E-02,3.33E-02,4.16E-02,4.71E-02,1.96E-02,2.03E-02
CG43188,2.78E-03,9.27E-03,2.24E-02,7.12E-02,5.80E-02,7.53E-03,1.54E-02,2.16E-02,1.55E-02,1.86E-02,8.29E-03,1.19E-02
CG43189,0.00E+00,1.15E-02,9.84E-03,1.27E-01,1.67E-01,4.01E-02,0.00E+00,4.33E-02,3.27E-02,3.82E-02,0.00E+00,0.00E+00
CG43190,0.00E+00,2.79E-02,8.26E-03,0.00E+00,0.00E+00,1.91E-02,9.01E-03,0.00E+00,0.00E+00,1.10E-02,1.53E-02,0.00E+00
CG43191,1.86E+00,1.22E-01,5.12E-01,1.40E+00,2.47E+00,2.82E+00,3.26E+00,6.29E-01,2.29E+00,1.97E+00,1.18E+00,2.89E+00
CG43192,6.15E-03,4.82E-02,1.26E-01,1.16E-01,1.10E-01,3.81E-02,8.75E-02,4.32E-02,6.10E-02,2.17E-02,0.00E+00,2.16E-02
CG43193,0.00E+00,9.22E-03,1.66E-02,6.50E-02,5.65E-02,3.09E-02,1.81E-02,1.17E-01,1.16E-01,1.17E-01,4.11E-02,2.85E-02
CG43194,0.00E+00,2.52E-02,0.00E+00,1.09E-02,0.00E+00,3.12E-02,1.63E-02,1.12E-02,0.00E+00,0.00E+00,2.77E-02,9.86E-03
CG43195,0.00E+00,9.60E-03,5.18E-02,8.34E-03,9.68E-03,1.19E-02,0.00E+00,0.00E+00,3.85E-03,7.55E-03,1.06E-02,0.00E+00
CG43196,3.16E-02,5.66E-02,6.28E-02,9.79E-02,1.08E-01,5.24E-02,8.56E-02,6.36E-02,2.48E-01,3.89E-01,1.19E-01,1.51E-01
CG43198,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.33E-04,0.00E+00,0.00E+00,3.49E-03,2.66E-02,1.05E-02,2.70E-02
CG43199,7.72E-03,0.00E+00,0.00E+00,0.00E+00,8.76E-03,2.55E-03,5.62E-03,3.21E-02,5.57E-02,4.10E-02,5.58E-02,7.27E-02
CG43200,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.77E-02,1.22E-02,1.64E-01,1.40E-01,1.48E-02,9.62E-02
CG43201,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.37E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E-02
CG43202,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.26E-02,0.00E+00,0.00E+00,9.28E-02,2.81E-01,1.08E-01
CG43203,0.00E+00,2.91E-02,3.48E-02,4.25E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.83E-03,7.69E-03,0.00E+00,0.00E+00
CG43204,4.67E+00,5.67E+00,3.76E+00,3.04E+00,2.18E+00,2.01E+00,3.08E+00,5.30E+00,1.33E+01,1.38E+01,2.39E+00,3.42E+00
CG43206,2.77E-02,1.96E-01,2.14E-01,2.15E-01,1.85E-01,6.61E-03,7.03E-02,2.32E-01,3.13E-01,2.67E-01,5.50E-01,6.59E-01
CG43207,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.95E-02,0.00E+00,1.22E-02,6.21E-02,6.46E-02,0.00E+00,0.00E+00
CG43208,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E-02,5.15E-02,5.91E-02,5.55E-01,9.55E-01,1.62E+00,2.55E+00
CG43209,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.28E-02
CG43210,0.00E+00,2.52E-02,0.00E+00,1.09E-02,0.00E+00,3.12E-02,1.63E-02,1.12E-02,0.00E+00,0.00E+00,2.77E-02,9.86E-03
